# Table 3
# Derived Properties of Groups (I. Temperature, Mass and Gas Fraction)
# https://iopscience.iop.org/article/10.1088/0004-637X/693/2/1142#apj299958t3


# Group	T_500^a (keV)	T_2500 (keV)	r_500^a (kpc)	r_2500 (kpc)	M_500^a (10^13 M_sun)	f_gas,500^a	f_gas,2500	f_gas,2500-500^a	c_500^b
NGC 4104	1.41^+0.09_-0.06*	1.64^+0.05_-0.08	535^+19_-20*	274 +or- 12	4.85^+0.55_-0.53*	0.069^+0.009_-0.006*	0.036 +or- 0.003	0.137^+0.043_-0.025*	4.29^+1.58_-1.12 (7)
RBS 461	(1.93 +or- 0.10)	2.17 +or- 0.06	(637)	318^+25_-27			0.059 +or- 0.006		5.45^+1.32_-1.16 (9)
ESO 552-020	(1.72^+0.13_-0.09)	1.97 +or- 0.09	(598)	297^+27_-24			0.039 +or- 0.005		4.27^+1.84_-1.22 (5)
A1177	1.37^+0.06_-0.07*	1.48^+0.06_-0.07	550^+29_-27*	264^+20_-25	5.28^+0.84_-0.73*	0.060^+0.009_-0.007*	0.037 +or- 0.004	0.091^+0.033_-0.020*	5.26^+4.68_-2.61 (6)
IC 1262	(1.73^+0.06_-0.05)	1.91^+0.06_-0.05	(600)	330^+20_-40			0.045^+0.004_-0.010
NGC 6269	1.72^+0.12_-0.11*	2.16^+0.08_-0.10	645^+50_-52*	232^+27_-21	8.49^+1.97_-2.01*	0.076^+0.011_-0.010*	0.044^+0.003_-0.004	0.087^+0.027_-0.015*
ESO 306-017	2.37^+0.12_-0.14*	2.54^+0.08_-0.10	690^+44_-30*	337^+16_-14	10.3^+2.1_-1.3*	0.081^+0.010_-0.011*	0.052^+0.003_-0.004	0.119^+0.031_-0.026*
NGC 5098	0.96 +or- 0.04	1.05^+0.02_-0.03	398^+17_-33	195^+17_-13	2.00^+0.28_-0.46	0.108^+0.021_-0.012	0.048^+0.006_-0.004	0.205^+0.131_-0.060	4.29^+1.46_-1.06 (7)
A1139	(2.01^+0.33_-0.34)	2.20^+0.35_-0.33	(650)	298^+37_-36			0.026^+0.016_-0.008
A160	1.68^+0.10_-0.10	2.05^+0.07_-0.06	626^+27_-31	286^+25_-23	7.90^+1.06_-1.10	0.085^+0.009_-0.008	0.043^+0.003_-0.004	0.121^+0.038_-0.023	2.73^+0.70_-0.60 (8)
UGC 842	1.54^+0.14_-0.12*	1.78 +or- 0.09	570^+84_-45*	276^+23_-29	5.60^+2.60_-1.10*	0.056^+0.012_-0.014*	0.032 +or- 0.003	0.089^+0.064_-0.041*	6.06^+3.31_-2.19 (6)
A2717	2.43^+0.13_-0.12	2.60^+0.08_-0.09	732^+49_-32	342^+13_-11	12.9^+2.7_-1.7	0.076 +or- 0.010	0.053 +or- 0.003	0.098^+0.029_-0.025	2.15^+0.36_-0.32 (9)
RXJ 1022+3830	1.94^+0.20_-0.14	2.36^+0.17_-0.12	631^+32_-41	326^+25_-23	8.00^+1.31_-1.40	0.075^+0.007_-0.013	0.038^+0.004_-0.005	0.134^+0.074_-0.046	4.03^+1.24_-0.80 (6)
AS1101	2.57^+0.14_-0.11*	2.69^+0.10_-0.09	768^+90_-65*	362^+21_-18	14.1^+5.0_-3.4*	0.114^+0.021_-0.020*	0.085 +or- 0.008	0.129^+0.088_-0.041*	5.05^+2.37_-1.34 (10)
ESO 351-021	1.14^+0.07_-0.04	1.34^+0.07_-0.03	437^+78_-38	194^+28_-35	3.22^+1.80_-0.90	0.074^+0.013_-0.018	0.036^+0.007_-0.005	0.119^+0.066_-0.050	2.42^+1.20_-0.76 (6)
A3880	2.49^+0.14_-0.12	2.75 +or- 0.11	799^+89_-68	309^+24_-12	14.9^+5.0_-3.5	0.088^+0.016_-0.021	0.074^+0.005_-0.007	0.090^+0.047_-0.022	4.03^+1.54_-1.26 (8)
A1991	2.68^+0.10_-0.08	2.86 +or- 0.07	749^+45_-35	348^+13_-10	13.4^+2.5_-1.9	0.094^+0.010_-0.012	0.066 +or- 0.004	0.115^+0.038_-0.022	4.69^+0.76_-0.70 (9)
A1275	1.46^+0.08_-0.07*	1.63^+0.06_-0.07	592^+87_-50*	202^+12_-9	6.90^+3.00_-1.67*	0.094^+0.018_-0.031*	0.069 +or- 0.004	0.100^+0.032_-0.035*	4.10^+1.69_-1.27 (7)
A2092	1.67^+0.13_-0.12*	2.14^+0.17_-0.21	659^+45_-40*	283^+34_-24	8.95^+1.81_-1.62*	0.078 +or- 0.013*	0.050^+0.006_-0.007	0.096^+0.027_-0.020*
RXJ 1206-0744	(1.91^+0.20_-0.21)	2.14^+0.19_-0.21	(624)	248^+28_-27			0.053^+0.009_-0.007
A1238	(2.51^+0.27_-0.32)	2.88^+0.35_-0.36	(725)	272^+63_-59			0.035 +or- 0.008
A744	(2.24^+0.19_-0.16)	2.49 +or- 0.16	(681)	325^+30_-24			0.046^+0.005_-0.006		3.33^+1.66_-1.04 (6)
A2462	2.32^+0.12_-0.10	2.62 +or- 0.09	646 +or- 30	327^+13_-12	8.80^+1.29_-1.19	0.099^+0.011_-0.009	0.052 +or- 0.003	0.180^+0.058_-0.034	3.41^+1.56_-0.84 (6)
RXJ 1159	1.84^+0.14_-0.08*	2.12^+0.09_-0.10	630^+77_-30*	273^+15_-13	8.30^+3.10_-1.12*	0.065^+0.007_-0.012*	0.042 +or- 0.003	0.080^+0.019_-0.023*	2.95^+1.16_-0.90 (6)
A1692	2.61^+0.16_-0.24	3.06^+0.25_-0.22	658^+64_-47	356^+42_-32	9.70^+2.99_-1.91	0.090^+0.014_-0.020	0.043 +or- 0.006	0.216^+0.155_-0.087	5.46^+1.77_-1.19 (7)
A2550	1.95 +or- 0.10	2.05 +or- 0.08	617^+74_-27	286 +or- 9	7.90^+2.90_-1.00	0.093^+0.011_-0.016	0.067^+0.003_-0.004	0.119^+0.027_-0.038	4.57^+0.92_-0.76 (7)

# Notes.
# a The T_500 in parenthesis are from the empirical relation between T_1500 and T_500 (Section 4). The r_500 in parenthesis are estimated from the M_500-T_500 relation in this work. The values with an asterisk are for tier 2 groups from extrapolation.
# b The value in parenthesis is the number of radial points between 40 kpc and r_det,spe (including 40 kpc and r_det,spe) are used in the NFW fit (Section 7.3).
