4.4	0.004	0.015	0.0009
10.9	0.011	0.01	0.00051
17.8	0.018	0.0083	0.00034
24.8	0.025	0.0072	0.00022
31.8	0.032	0.0064	0.00014
38.8	0.039	0.0059	0.00011
45.8	0.046	0.0055	0.00011
52.9	0.053	0.0052	9.7e-05
59.9	0.061	0.0049	8.6e-05
66.9	0.068	0.0046	7.8e-05
74.0	0.075	0.0044	6.7e-05
81.0	0.082	0.0041	6.6e-05
88.0	0.089	0.0039	6.9e-05
95.1	0.096	0.0037	6.9e-05
102.1	0.103	0.0035	6.8e-05
109.2	0.110	0.0033	6.2e-05
116.2	0.117	0.0032	5.4e-05
123.2	0.125	0.003	5.1e-05
130.3	0.132	0.0028	5.1e-05
137.3	0.139	0.0027	4.9e-05
144.4	0.146	0.0025	4.4e-05
155.0	0.157	0.0023	3.6e-05
169.1	0.171	0.0021	3.2e-05
183.1	0.185	0.002	3.5e-05
197.2	0.199	0.0018	3.7e-05
211.3	0.213	0.0017	3e-05
225.4	0.228	0.0016	3.3e-05
239.4	0.242	0.0016	4e-05
253.5	0.256	0.0015	2.1e-05
267.6	0.270	0.0014	2.3e-05
281.7	0.285	0.0013	2.3e-05
299.3	0.302	0.0012	1.7e-05
320.4	0.324	0.0011	1.9e-05
341.6	0.345	0.001	1.8e-05
362.7	0.366	0.00093	1.4e-05
383.8	0.388	0.00084	1.6e-05
404.9	0.409	0.00076	1.4e-05
426.0	0.430	0.0007	1.1e-05
450.7	0.455	0.00063	1.3e-05
478.9	0.484	0.00056	9.4e-06
507.0	0.512	0.0005	1e-05
535.2	0.541	0.00044	8.8e-06
563.4	0.569	0.00039	1e-05
595.1	0.601	0.00034	7.4e-06
630.3	0.637	0.0003	5.8e-06
665.5	0.672	0.00027	6.1e-06
700.7	0.708	0.00024	5.4e-06
739.4	0.747	0.00022	4.3e-06
781.7	0.790	0.0002	4.8e-06
823.9	0.832	0.00018	4.8e-06
866.1	0.875	0.00016	4.5e-06
912.0	0.921	0.00014	4.5e-06
961.2	0.971	0.00012	4.7e-06
1010.5	1.021	0.00011	4.8e-06
1063.3	1.074	9.3e-05	4.9e-06
1119.7	1.131	8.1e-05	4.8e-06
1193.9	1.206	7e-05	4.6e-06
1281.8	1.295	5.8e-05	4e-06
