5.4	0.005	0.011	0.00072
13.2	0.012	0.009	0.00043
21.6	0.019	0.008	0.0003
30.1	0.027	0.0073	0.00022
38.6	0.034	0.0068	0.00016
47.1	0.042	0.0064	0.00013
55.6	0.049	0.006	0.0001
64.2	0.057	0.0056	8.3e-05
72.7	0.064	0.0053	7e-05
81.2	0.072	0.0049	7.3e-05
89.8	0.079	0.0046	7.8e-05
98.3	0.087	0.0044	7.2e-05
106.9	0.094	0.0042	6.3e-05
115.4	0.102	0.004	5.7e-05
124.0	0.109	0.0039	5e-05
132.5	0.117	0.0038	4.6e-05
141.0	0.124	0.0037	4.5e-05
149.6	0.132	0.0036	4.5e-05
158.1	0.139	0.0035	4.3e-05
166.7	0.147	0.0033	4.3e-05
175.2	0.155	0.0032	4.4e-05
188.1	0.166	0.003	3.7e-05
205.2	0.181	0.0027	3.3e-05
222.3	0.196	0.0025	3.4e-05
239.4	0.211	0.0022	2.6e-05
256.4	0.226	0.002	2.7e-05
273.5	0.241	0.0019	2.3e-05
290.6	0.256	0.0017	2.1e-05
307.7	0.271	0.0015	2.4e-05
324.8	0.286	0.0014	2.1e-05
341.9	0.302	0.0013	1.9e-05
363.3	0.320	0.0012	1.6e-05
388.9	0.343	0.001	2e-05
414.6	0.366	0.00096	1.5e-05
440.2	0.388	0.00088	1.2e-05
465.8	0.411	0.0008	1e-05
491.5	0.433	0.00072	1e-05
517.1	0.456	0.00066	9.4e-06
547.1	0.483	0.00059	1.2e-05
581.3	0.513	0.00052	8.6e-06
615.4	0.543	0.00046	9.6e-06
649.6	0.573	0.00042	1.2e-05
683.8	0.603	0.00039	6.1e-06
722.3	0.637	0.00035	7.2e-06
765.0	0.675	0.00031	5.7e-06
807.7	0.712	0.00027	5e-06
850.5	0.750	0.00024	4.8e-06
897.5	0.792	0.00021	4.6e-06
948.8	0.837	0.00019	4.3e-06
1000.0	0.882	0.00017	3.9e-06
1051.3	0.927	0.00015	3.4e-06
1106.9	0.976	0.00013	2.8e-06
1166.7	1.029	0.00011	2.6e-06
1226.5	1.082	9.9e-05	2.3e-06
1505.1	1.328	6e-05	1.7e-06
