3.8	0.005	0.072	0.0056
9.2	0.012	0.043	0.002
15.1	0.019	0.031	0.00091
21.1	0.027	0.023	0.00057
27.1	0.034	0.017	0.00061
33.1	0.042	0.013	0.00057
39.1	0.050	0.011	0.00047
45.0	0.057	0.0095	0.00038
51.0	0.065	0.0085	0.00034
57.0	0.072	0.0074	0.00032
63.0	0.080	0.0064	0.00027
69.0	0.088	0.0054	0.00022
75.0	0.095	0.0047	0.00022
81.0	0.103	0.0041	0.00024
87.0	0.110	0.0037	0.00023
93.0	0.118	0.0035	0.00018
99.0	0.126	0.0033	0.00016
105.0	0.133	0.0031	0.00017
111.0	0.141	0.0029	0.00017
117.0	0.148	0.0027	0.00016
123.0	0.156	0.0026	0.00013
132.1	0.167	0.0023	1e-04
144.1	0.183	0.0021	8.2e-05
156.1	0.198	0.0018	8.6e-05
168.0	0.213	0.0017	7.4e-05
180.0	0.228	0.0016	6.5e-05
192.0	0.243	0.0016	6.9e-05
204.0	0.259	0.0014	7.1e-05
216.0	0.274	0.0013	6e-05
228.0	0.289	0.0012	4.8e-05
240.0	0.304	0.001	4.6e-05
255.1	0.323	0.00086	4.5e-05
273.1	0.346	0.00073	3.9e-05
291.1	0.369	0.00063	3.3e-05
309.1	0.392	0.00057	2.9e-05
327.1	0.415	0.00055	3.1e-05
345.0	0.437	0.00055	2.9e-05
363.0	0.460	0.00054	2.3e-05
384.1	0.487	0.00051	2.2e-05
408.1	0.517	0.00045	2e-05
432.1	0.548	0.0004	2e-05
456.1	0.578	0.00036	1.8e-05
480.1	0.609	0.00033	1.8e-05
507.1	0.643	0.0003	1.8e-05
537.1	0.681	0.00027	1.4e-05
567.1	0.719	0.00024	1.3e-05
597.1	0.757	0.00022	1.4e-05
630.1	0.799	0.00021	1.2e-05
666.1	0.845	0.00019	1.2e-05
702.1	0.890	0.00016	1.1e-05
771.8	0.979	0.00011	1e-05
873.7	1.108	7.8e-05	6.9e-06
